Symbol,Name,Country,IPOYear,Sector,Industry,MarketCap,MarketCapDate
AA,Alcoa Corporation Common Stock,NULL,2016,Industrials,Metal Fabrications,10675889946,2022-06-09
AAL,American Airlines Group Inc. Common Stock,United States,NULL,Consumer Discretionary,Air Freight/Delivery Services,10229858856,2022-06-09
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing,2530211399600,2022-06-09
ABBV,AbbVie Inc. Common Stock,United States,2012,Health Care,Other Pharmaceuticals,263264060165,2022-06-09
ABC,AmerisourceBergen Corporation Common Stock,United States,NULL,Health Care,Other Pharmaceuticals,30611076267,2022-06-09
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NULL,2013,Consumer Staples,Beverages (Production/Distribution),43519261883,2022-06-09
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Consumer Discretionary,Hotels/Resorts,70067937337,2022-06-09
ABT,Abbott Laboratories Common Stock,United States,NULL,Health Care,Medical/Dental Instruments,201402136792,2022-06-09
ACC,American Campus Communities Inc Common Stock,United States,2004,Real Estate,Real Estate Investment Trusts,9048264286,2022-06-09
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,2001,Consumer Discretionary,Business Services,190887979808,2022-06-09
ADBE,Adobe Inc. Common Stock,United States,1986,Technology,Computer Software: Prepackaged Software,204876000000,2022-06-09
ADI,Analog Devices Inc. Common Stock,United States,NULL,Technology,Semiconductors,85962921881,2022-06-09
ADM,Archer-Daniels-Midland Company Common Stock,United States,NULL,NULL,NULL,49169406341,2022-06-09
ADP,Automatic Data Processing Inc. Common Stock,United States,NULL,Consumer Discretionary,Business Services,91979567927,2022-06-09
ADSK,Autodesk Inc. Common Stock,United States,NULL,Technology,Computer Software: Prepackaged Software,43343632175,2022-06-09
AEP,American Electric Power Company Inc. Common Stock,United States,NULL,Utilities,Electric Utilities: Central,51611189688,2022-06-09
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,Technology,EDP Services,6050841545,2022-06-09
AGCO,AGCO Corporation Common Stock,United States,NULL,Industrials,Industrial Machinery/Components,9232981072,2022-06-09
AGNC,AGNC Investment Corp. Common Stock,United States,2008,Real Estate,Real Estate Investment Trusts,6437848531,2022-06-09
AIG,American International Group Inc. New Common Stock,United States,NULL,Finance,Life Insurance,49020814265,2022-06-09
ALB,Albemarle Corporation Common Stock,United States,NULL,Industrials,Major Chemicals,28867107451,2022-06-09
ALGN,Align Technology Inc. Common Stock,United States,2001,Health Care,Industrial Specialties,21240459083,2022-06-09
ALL,Allstate Corporation (The) Common Stock,United States,NULL,Finance,Property-Casualty Insurers,35912779539,2022-06-09
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,2004,Health Care,Biotechnology: Pharmaceutical Preparations,16420978939,2022-06-09
AMAT,Applied Materials Inc. Common Stock,United States,1972,Technology,Semiconductors,96163972000,2022-06-09
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,NULL,2013,Consumer Discretionary,Movies/Entertainment,6599798998,2022-06-09
AMD,Advanced Micro Devices Inc. Common Stock,United States,NULL,Technology,Semiconductors,164331315176,2022-06-09
AMGN,Amgen Inc. Common Stock,United States,1983,Health Care,Biotechnology: Pharmaceutical Preparations,131162109549,2022-06-09
AMR,Alpha Metallurgical Resources Inc. Common Stock,United States,2018,Energy,Coal Mining,3137455456,2022-06-09
AMT,American Tower Corporation (REIT) Common Stock,United States,NULL,Finance,Trusts Except Educational Religious and Charitable,123496439847,2022-06-09
AMZN,Amazon.com Inc. Common Stock,United States,1997,Consumer Discretionary,Catalog/Specialty Distribution,1217969979776,2022-06-09
ANET,Arista Networks Inc. Common Stock,NULL,2014,Technology,Computer peripheral equipment,31174691598,2022-06-09
ANTM,Anthem Inc. Common Stock,United States,NULL,Health Care,Medical Specialities,119103113863,2022-06-09
AON,Aon plc Class A Ordinary Shares (Ireland),United States,NULL,Finance,Specialty Insurers,56271114835,2022-06-09
APA,APA Corporation Common Stock,United States,NULL,Energy,Oil & Gas Production,17266764633,2022-06-09
APD,Air Products and Chemicals Inc. Common Stock,United States,NULL,Industrials,Specialty Chemicals,56878205176,2022-06-09
AR,Antero Resources Corporation Common Stock,NULL,2013,Energy,Oil & Gas Production,14477902741,2022-06-09
ARCH,Arch Resources Inc. Class A Common Stock,United States,2016,Energy,Coal Mining,2594005536,2022-06-09
ARE,Alexandria Real Estate Equities Inc. Common Stock,United States,NULL,Real Estate,Real Estate Investment Trusts,25192683328,2022-06-09
ASML,ASML Holding N.V. New York Registry Shares,Netherlands,1995,Technology,Industrial Machinery/Components,223234542376,2022-06-09
ATVI,Activision Blizzard Inc. Common Stock,United States,NULL,Consumer Discretionary,Recreational Games/Products/Toys,60517625933,2022-06-09
AUY,Yamana Gold Inc. Ordinary Shares (Canada),Canada,NULL,NULL,NULL,5266493720,2022-06-09
AVGO,Broadcom Inc. Common Stock,United States,2009,Technology,Semiconductors,240276356000,2022-06-09
AXP,American Express Company Common Stock,United States,NULL,Finance,Finance: Consumer Services,123878415731,2022-06-09
AZN,AstraZeneca PLC American Depositary Shares,United Kingdom,NULL,Health Care,Biotechnology: Pharmaceutical Preparations,196333421247,2022-06-09
AZO,AutoZone Inc. Common Stock,United States,NULL,NULL,NULL,41626602160,2022-06-09
BA,Boeing Company (The) Common Stock,United States,NULL,Industrials,Aerospace,80271079096,2022-06-09
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,China,2014,Consumer Discretionary,Catalog/Specialty Distribution,297624780000,2022-06-09
BAC,Bank of America Corporation Common Stock,United States,NULL,Finance,Major Banks,301738158006,2022-06-09
BALL,Ball Corporation Common Stock,United States,NULL,Industrials,Containers/Packaging,22736989724,2022-06-09
BAX,Baxter International Inc. Common Stock,United States,NULL,Health Care,Medical/Dental Instruments,36546111449,2022-06-09
BBD,Banco Bradesco Sa American Depositary Shares,Brazil,NULL,Finance,Commercial Banks,42101027711,2022-06-09
BBWI,Bath & Body Works Inc.,United States,NULL,Consumer Discretionary,Clothing/Shoe/Accessory Stores,8242485905,2022-06-09
BBY,Best Buy Co. Inc. Common Stock,United States,NULL,Consumer Discretionary,Consumer Electronics/Video Chains,17194985401,2022-06-09
BCE,BCE Inc. Common Stock,Canada,NULL,NULL,NULL,48942232700,2022-06-09
BDX,Becton Dickinson and Company Common Stock,United States,NULL,Health Care,Medical/Dental Instruments,72075740796,2022-06-09
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),China,2020,Finance,Real Estate,19200019308,2022-06-09
BG,Bunge Limited Bunge Limited,United States,2001,Consumer Staples,Farming/Seeds/Milling,16960584963,2022-06-09
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Australia,NULL,Basic Materials,Metal Mining,167587956089,2022-06-09
BIDU,Baidu Inc. ADS,China,2005,Technology,Computer Software: Programming Data Processing,50419275352,2022-06-09
BIIB,Biogen Inc. Common Stock,United States,NULL,Health Care,Biotechnology: Pharmaceutical Preparations,29920146256,2022-06-09
BILI,Bilibili Inc. American Depositary Shares,China,2018,Technology,EDP Services,9749490492,2022-06-09
BILL,Bill.com Holdings Inc. Common Stock,NULL,2019,Technology,Computer Software: Prepackaged Software,13551174244,2022-06-09
BK,The Bank of New York Mellon Corporation Common Stock,United States,NULL,Finance,Investment Managers,36189361286,2022-06-09
BKNG,Booking Holdings Inc. Common Stock,United States,NULL,Consumer Discretionary,Other Consumer Services,93433895033,2022-06-09
BKR,Baker Hughes Company Class A Common Stock,United States,NULL,Energy,Oilfield Services/Equipment,36114249991,2022-06-09
BLDR,Builders FirstSource Inc. Common Stock,United States,2005,Consumer Discretionary,RETAIL: Building Materials,11468054340,2022-06-09
BLK,BlackRock Inc. Common Stock,United States,1999,Finance,Investment Bankers/Brokers/Service,101166298526,2022-06-09
BMY,Bristol-Myers Squibb Company Common Stock,United States,NULL,Health Care,Biotechnology: Pharmaceutical Preparations,163522781334,2022-06-09
BNTX,BioNTech SE American Depositary Share,Germany,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),36898822661,2022-06-09
BP,BP p.l.c. Common Stock,United Kingdom,NULL,Energy,Integrated oil Companies,109557791270,2022-06-09
BPMC,Blueprint Medicines Corporation Common Stock,United States,2015,Health Care,Biotechnology: Pharmaceutical Preparations,3452708904,2022-06-09
BSX,Boston Scientific Corporation Common Stock,United States,NULL,Health Care,Medical/Dental Instruments,55302961833,2022-06-09
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,United Kingdom,1998,Consumer Discretionary,Farming/Seeds/Milling,99132246814,2022-06-09
BTU,Peabody Energy Corporation Common Stock,United States,2017,Energy,Coal Mining,3853840000,2022-06-09
BX,Blackstone Inc. Common Stock,United States,2007,Finance,Investment Managers,83846502835,2022-06-09
BYND,Beyond Meat Inc. Common Stock,United States,2019,Consumer Staples,Specialty Foods,1451309010,2022-06-09
BZ,KANZHUN LIMITED American Depository Shares,China,2021,NULL,NULL,10453898100,2022-06-09
C,Citigroup Inc. Common Stock,United States,NULL,Finance,Major Banks,98562177109,2022-06-09
CAT,Caterpillar Inc. Common Stock,United States,NULL,Industrials,Construction/Ag Equipment/Trucks,121075992205,2022-06-09
CB,Chubb Limited  Common Stock,Switzerland,NULL,Finance,Property-Casualty Insurers,89229377198,2022-06-09
CCI,Crown Castle International Corp. (REIT) Common Stock,United States,NULL,Real Estate,Real Estate Investment Trusts,79550084591,2022-06-09
CCJ,Cameco Corporation Common Stock,Canada,1996,NULL,NULL,10573616947,2022-06-09
CCL,Carnival Corporation Common Stock,United States,1987,Consumer Discretionary,Marine Transportation,14033520581,2022-06-09
CDNS,Cadence Design Systems Inc. Common Stock,United States,NULL,Technology,Computer Software: Prepackaged Software,43688498370,2022-06-09
CF,CF Industries Holdings Inc. Common Stock,United States,2005,Industrials,Agricultural Chemicals,18727219413,2022-06-09
CFG,Citizens Financial Group Inc. Common Stock,United States,2014,Finance,Major Banks,19708843193,2022-06-09
CHK,Chesapeake Energy Corporation Common Stock,United States,NULL,Energy,Oil & Gas Production,12489635445,2022-06-09
CHPT,ChargePoint Holdings Inc. Common Stock,United States,2019,Miscellaneous,Diversified Commercial Services,5216263183,2022-06-09
CHTR,Charter Communications Inc. Class A Common Stock New,United States,NULL,Consumer Discretionary,Telecommunications Equipment,100074807039,2022-06-09
CHWY,Chewy Inc. Class A Common Stock,NULL,2019,Consumer Discretionary,Catalog/Specialty Distribution,12979928533,2022-06-09
CI,Cigna Corporation Common Stock,United States,NULL,Health Care,Medical Specialities,83008253247,2022-06-09
CL,Colgate-Palmolive Company Common Stock,United States,NULL,Consumer Discretionary,Package Goods/Cosmetics,65451639466,2022-06-09
CLF,Cleveland-Cliffs Inc. Common Stock,United States,NULL,NULL,NULL,11019481074,2022-06-09
CLX,Clorox Company (The) Common Stock,United States,NULL,Consumer Discretionary,Specialty Chemicals,16486565062,2022-06-09
CMCSA,Comcast Corporation Class A Common Stock,United States,NULL,Consumer Discretionary,Telecommunications Equipment,191431030139,2022-06-09
CME,CME Group Inc. Class A Common Stock,United States,2002,Finance,Investment Bankers/Brokers/Service,72069357558,2022-06-09
CMG,Chipotle Mexican Grill Inc. Common Stock,United States,2006,Consumer Discretionary,Restaurants,38690520800,2022-06-09
CMI,Cummins Inc. Common Stock,United States,NULL,Industrials,Construction/Ag Equipment/Trucks,30134260777,2022-06-09
CMS,CMS Energy Corporation Common Stock,United States,NULL,Utilities,Power Generation,20137861039,2022-06-09
CNC,Centene Corporation Common Stock,United States,NULL,Health Care,Medical Specialities,47434334646,2022-06-09
CNQ,Canadian Natural Resources Limited Common Stock,Canada,NULL,NULL,NULL,77894728240,2022-06-09
COF,Capital One Financial Corporation Common Stock,United States,1994,Finance,Finance Companies,48132983334,2022-06-09
COIN,Coinbase Global Inc. Class A Common Stock,United States,NULL,Technology,EDP Services,17107308000,2022-06-09
COP,ConocoPhillips Common Stock,United States,NULL,Energy,Integrated oil Companies,156235770782,2022-06-09
COST,Costco Wholesale Corporation Common Stock,United States,NULL,Consumer Discretionary,Department/Specialty Retail Stores,213485993271,2022-06-09
COUP,Coupa Software Incorporated Common Stock,United States,2016,Technology,Computer Software: Prepackaged Software,5033950737,2022-06-09
CPB,Campbell Soup Company Common Stock,United States,NULL,Consumer Staples,Packaged Foods,14397291593,2022-06-09
CPE,Callon Petroleum Company Common Stock,United States,NULL,Energy,Oil & Gas Production,3889538864,2022-06-09
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada),Canada,NULL,NULL,NULL,6032865253,2022-06-09
CPRI,Capri Holdings Limited Ordinary Shares,Hong Kong,2011,Consumer Discretionary,Apparel,7264742869,2022-06-09
CRM,Salesforce Inc. Common Stock,United States,2004,Technology,Computer Software: Prepackaged Software,189349296000,2022-06-09
CRSP,CRISPR Therapeutics AG Common Shares,Switzerland,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),5656690625,2022-06-09
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,United States,2019,Technology,EDP Services,40814443724,2022-06-09
CS,Credit Suisse Group American Depositary Shares,Switzerland,NULL,Finance,Investment Bankers/Brokers/Service,16819160826,2022-06-09
CSCO,Cisco Systems Inc. Common Stock (DE),United States,1990,Telecommunications,Computer Communications Equipment,186384791305,2022-06-09
CSX,CSX Corporation Common Stock,United States,NULL,Industrials,Railroads,68967525677,2022-06-09
CTRA,Coterra Energy Inc. Common Stock,United States,NULL,Energy,Oil & Gas Production,28094396869,2022-06-09
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,United States,1998,Technology,EDP Services,37560998505,2022-06-09
CTVA,Corteva Inc. Common Stock,NULL,2019,Industrials,Major Chemicals,44406232000,2022-06-09
CVE,Cenovus Energy Inc Common Stock,Canada,NULL,NULL,NULL,48411831650,2022-06-09
CVNA,Carvana Co. Class A Common Stock,United States,2017,Consumer Discretionary,Other Specialty Stores,2429285855,2022-06-09
CVS,CVS Health Corporation Common Stock,United States,NULL,Health Care,Managed Health Care,123623662951,2022-06-09
CVX,Chevron Corporation Common Stock,United States,NULL,Energy,Integrated oil Companies,352684015352,2022-06-09
CZR,Caesars Entertainment Inc. Common Stock,United States,NULL,Consumer Discretionary,Hotels/Resorts,10838351988,2022-06-09
D,Dominion Energy Inc. Common Stock,United States,NULL,Utilities,Electric Utilities: Central,65510081086,2022-06-09
DAL,Delta Air Lines Inc. Common Stock,United States,NULL,Consumer Discretionary,Air Freight/Delivery Services,24039675563,2022-06-09
DAR,Darling Ingredients Inc. Common Stock,United States,1997,Consumer Staples,Farming/Seeds/Milling,13499345636,2022-06-09
DASH,DoorDash Inc. Class A Common Stock,NULL,2020,Industrials,Industrial Machinery/Components,24208140144,2022-06-09
DD,DuPont de Nemours Inc. Common Stock,NULL,2017,Consumer Discretionary,Wholesale Distributors,34211123584,2022-06-09
DDOG,Datadog Inc. Class A Common Stock,United States,2019,Technology,EDP Services,33070524657,2022-06-09
DE,Deere & Company Common Stock,United States,NULL,Industrials,Industrial Machinery/Components,107288818121,2022-06-09
DELL,Dell Technologies Inc. Class C Common Stock,NULL,2018,Technology,Computer Manufacturing,37878091472,2022-06-09
DEO,Diageo plc Common Stock,United Kingdom,NULL,Consumer Staples,Beverages (Production/Distribution),103965600845,2022-06-09
DFS,Discover Financial Services Common Stock,United States,NULL,Finance,Finance: Consumer Services,30599908605,2022-06-09
DG,Dollar General Corporation Common Stock,United States,2009,Consumer Discretionary,Department/Specialty Retail Stores,54270447063,2022-06-09
DGX,Quest Diagnostics Incorporated Common Stock,United States,NULL,Health Care,Medical Specialities,16205763066,2022-06-09
DHI,D.R. Horton Inc. Common Stock,United States,NULL,NULL,NULL,25972791919,2022-06-09
DHR,Danaher Corporation Common Stock,United States,NULL,Health Care,Medical Specialities,191526561700,2022-06-09
DIDI,DiDi Global Inc. American Depositary Shares (each four representing one Class A Ordinary Share),NULL,2021,NULL,NULL,11431259198,2022-06-09
DINO,HF Sinclair Corporation Common Stock,United States,1960,Energy,Integrated oil Companies,12880460204,2022-06-09
DIS,Walt Disney Company (The) Common Stock,United States,NULL,Consumer Discretionary,Movies/Entertainment,191875097382,2022-06-09
DISH,DISH Network Corporation Class A Common Stock,United States,1995,Consumer Discretionary,Telecommunications Equipment,10750957074,2022-06-09
DKNG,DraftKings Inc. Class A Common Stock,United States,2019,Consumer Discretionary,Services-Misc. Amusement & Recreation,6100932227,2022-06-09
DKS,Dick's Sporting Goods Inc Common Stock,United States,2002,Consumer Discretionary,Other Specialty Stores,6477614805,2022-06-09
DLR,Digital Realty Trust Inc. Common Stock,United States,2004,Real Estate,Real Estate Investment Trusts,38726828126,2022-06-09
DLTR,Dollar Tree Inc. Common Stock,United States,1995,Consumer Discretionary,Department/Specialty Retail Stores,36393796755,2022-06-09
DOCU,DocuSign Inc. Common Stock,United States,2018,Technology,EDP Services,17637471688,2022-06-09
DOW,Dow Inc. Common Stock,NULL,2019,Industrials,Industrial Specialties,48484301659,2022-06-09
DPZ,Domino's Pizza Inc Common Stock,United States,2004,Consumer Discretionary,Food Distributors,13944935296,2022-06-09
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,China,2010,Technology,Semiconductors,4646252155,2022-06-09
DUK,Duke Energy Corporation (Holding Company) Common Stock,United States,NULL,Utilities,Power Generation,84511975909,2022-06-09
DVN,Devon Energy Corporation Common Stock,United States,1985,Energy,Oil & Gas Production,52078026000,2022-06-09
DXCM,DexCom Inc. Common Stock,United States,2005,Health Care,Medical Specialities,476232628110,2022-06-09
EA,Electronic Arts Inc. Common Stock,United States,NULL,Consumer Discretionary,Recreational Games/Products/Toys,38660304191,2022-06-09
EBAY,eBay Inc. Common Stock,United States,1998,Consumer Discretionary,Catalog/Specialty Distribution,26390958244,2022-06-09
ECL,Ecolab Inc. Common Stock,United States,NULL,Consumer Discretionary,Package Goods/Cosmetics,47484458410,2022-06-09
EFX,Equifax Inc. Common Stock,United States,NULL,Finance,Advertising,23782558809,2022-06-09
EL,Estee Lauder Companies Inc. (The) Common Stock,United States,1995,Consumer Discretionary,Package Goods/Cosmetics,94418277184,2022-06-09
EMN,Eastman Chemical Company Common Stock,United States,NULL,Industrials,Major Chemicals,14249234053,2022-06-09
ENPH,Enphase Energy Inc. Common Stock,United States,2012,Technology,Electrical Products,27566690133,2022-06-09
EOG,EOG Resources Inc. Common Stock,United States,NULL,Energy,Oil & Gas Production,84992882067,2022-06-09
EPAM,EPAM Systems Inc. Common Stock,United States,2012,Technology,EDP Services,18419238655,2022-06-09
EQIX,Equinix Inc. Common Stock REIT,United States,2000,Real Estate,Real Estate Investment Trusts,61253121656,2022-06-09
EQT,EQT Corporation Common Stock,United States,NULL,Energy,Oil & Gas Production,17922481693,2022-06-09
ERIC,Ericsson American Depositary Shares,Sweden,NULL,Technology,Computer Software: Prepackaged Software,27072080000,2022-06-09
ESTC,Elastic N.V. Ordinary Shares,United States,2018,Technology,Computer Software: Prepackaged Software,7134691485,2022-06-09
ET,Energy Transfer LP Common Units,United States,NULL,Utilities,Natural Gas Distribution,37350384833,2022-06-09
ETN,Eaton Corporation PLC Ordinary Shares,Ireland,NULL,Industrials,Industrial Machinery/Components,57851010000,2022-06-09
ETSY,Etsy Inc. Common Stock,United States,2015,Consumer Discretionary,Catalog/Specialty Distribution,10618887169,2022-06-09
EW,Edwards Lifesciences Corporation Common Stock,United States,NULL,Health Care,Industrial Specialties,59458118514,2022-06-09
EXC,Exelon Corporation Common Stock,United States,NULL,Utilities,Power Generation,46599164622,2022-06-09
EXPD,Expeditors International of Washington Inc. Common Stock,United States,NULL,Consumer Discretionary,Oil Refining/Marketing,17218258654,2022-06-09
EXPE,Expedia Group Inc. Common Stock,United States,NULL,Consumer Discretionary,Other Consumer Services,19389014302,2022-06-09
F,Ford Motor Company Common Stock,United States,NULL,Consumer Discretionary,Auto Manufacturing,54425211047,2022-06-09
FANG,Diamondback Energy Inc. Commmon Stock,United States,2012,Energy,Oil & Gas Production,28246626135,2022-06-09
FCEL,FuelCell Energy Inc. Common Stock,United States,NULL,Utilities,Electric Utilities: Central,1441082916,2022-06-09
FCX,Freeport-McMoRan Inc. Common Stock,United States,NULL,Basic Materials,Metal Mining,59847155000,2022-06-09
FDX,FedEx Corporation Common Stock,United States,NULL,Consumer Discretionary,Air Freight/Delivery Services,57059383005,2022-06-09
FE,FirstEnergy Corp. Common Stock,United States,NULL,Utilities,Electric Utilities: Central,23619467596,2022-06-09
